crime_type,n_triplets,H1_rate,H1_count,H2_rate,H2_count,H3_rate,H3_count,H4_rate,H4_count,H5_rate,H5_count,H6_rate,H6_count,ANY_rate,hall_per_triplet
Shooting,1200,0.7225,867,0.5117,614,0.6025,723,0.4517,542,0.7583,910,0.4042,485,0.9583,3.4508
Fighting,1200,0.7025,843,0.3292,395,0.4408,529,0.3375,405,0.7325,879,0.3367,404,0.9325,2.8792
Abuse,1199,0.5955,714,0.2977,357,0.5088,610,0.3912,469,0.6439,772,0.2802,336,0.9091,2.7173
RoadAccidents,3550,0.6606,2345,0.2324,825,0.4665,1656,0.2752,977,0.7577,2690,0.2862,1016,0.9186,2.6786
Vandalism,1176,0.5859,689,0.392,461,0.6386,751,0.267,314,0.5884,692,0.1871,220,0.9218,2.659
Robbery,3575,0.6408,2291,0.2473,884,0.395,1412,0.3438,1229,0.711,2542,0.2931,1048,0.922,2.631
Explosion,1199,0.7373,884,0.2402,288,0.2769,332,0.1226,147,0.7848,941,0.3144,377,0.9016,2.4762
Shoplifting,1198,0.5342,640,0.2204,264,0.4508,540,0.2496,299,0.6068,727,0.2513,301,0.8715,2.313
Burglary,2400,0.6396,1535,0.1929,463,0.3425,822,0.2162,519,0.6858,1646,0.1796,431,0.8867,2.2567
Assault,264,0.5985,158,0.1667,44,0.2386,63,0.178,47,0.7045,186,0.3636,96,0.8977,2.25
Stealing,2400,0.5721,1373,0.2054,493,0.425,1020,0.25,600,0.5758,1382,0.1838,441,0.8975,2.2121
