row_idx,model,technique,video,crime_type
0.0,Claude,Zero-Shot,Abuse001_x264,Abuse
1.0,Claude,Zero-Shot,Abuse002_x264,Abuse
2.0,Claude,Zero-Shot,Abuse003_x264,Abuse
3.0,Claude,Zero-Shot,Abuse004_x264,Abuse
4.0,Claude,Zero-Shot,Abuse005_x264,Abuse
5.0,Claude,Zero-Shot,Abuse006_x264,Abuse
6.0,Claude,Zero-Shot,Abuse007_x264,Abuse
7.0,Claude,Zero-Shot,Abuse008_x264,Abuse
8.0,Claude,Zero-Shot,Abuse009_x264,Abuse
9.0,Claude,Zero-Shot,Abuse010_x264,Abuse
10.0,Claude,Zero-Shot,Abuse011_x264,Abuse
11.0,Claude,Zero-Shot,Abuse012_x264,Abuse
12.0,Claude,Zero-Shot,Abuse013_x264,Abuse
13.0,Claude,Zero-Shot,Abuse014_x264,Abuse
14.0,Claude,Zero-Shot,Abuse015_x264,Abuse
15.0,Claude,Zero-Shot,Abuse016_x264,Abuse
16.0,Claude,Zero-Shot,Abuse017_x264,Abuse
17.0,Claude,Zero-Shot,Abuse018_x264,Abuse
18.0,Claude,Zero-Shot,Abuse019_x264,Abuse
19.0,Claude,Zero-Shot,Abuse020_x264,Abuse
20.0,Claude,Zero-Shot,Abuse021_x264,Abuse
21.0,Claude,Zero-Shot,Abuse022_x264,Abuse
22.0,Claude,Zero-Shot,Abuse023_x264,Abuse
23.0,Claude,Zero-Shot,Abuse024_x264,Abuse
24.0,Claude,Zero-Shot,Abuse025_x264,Abuse
25.0,Claude,Zero-Shot,Abuse026_x264,Abuse
26.0,Claude,Zero-Shot,Abuse027_x264,Abuse
27.0,Claude,Zero-Shot,Abuse028_x264,Abuse
28.0,Claude,Zero-Shot,Abuse029_x264,Abuse
29.0,Claude,Zero-Shot,Abuse030_x264,Abuse
30.0,Claude,Zero-Shot,Abuse031_x264,Abuse
31.0,Claude,Zero-Shot,Abuse032_x264,Abuse
32.0,Claude,Zero-Shot,Abuse033_x264,Abuse
33.0,Claude,Zero-Shot,Abuse034_x264,Abuse
34.0,Claude,Zero-Shot,Abuse035_x264,Abuse
35.0,Claude,Zero-Shot,Abuse036_x264,Abuse
36.0,Claude,Zero-Shot,Abuse037_x264,Abuse
37.0,Claude,Zero-Shot,Abuse038_x264,Abuse
38.0,Claude,Zero-Shot,Abuse039_x264,Abuse
39.0,Claude,Zero-Shot,Abuse040_x264,Abuse
40.0,Claude,Zero-Shot,Abuse041_x264,Abuse
41.0,Claude,Zero-Shot,Abuse042_x264,Abuse
42.0,Claude,Zero-Shot,Abuse043_x264,Abuse
43.0,Claude,Zero-Shot,Abuse044_x264,Abuse
44.0,Claude,Zero-Shot,Abuse045_x264,Abuse
45.0,Claude,Zero-Shot,Abuse046_x264,Abuse
46.0,Claude,Zero-Shot,Abuse047_x264,Abuse
47.0,Claude,Zero-Shot,Abuse048_x264,Abuse
48.0,Claude,Zero-Shot,Abuse049_x264,Abuse
49.0,Claude,Zero-Shot,Abuse050_x264,Abuse
50.0,Claude,Zero-Shot,Assault007_x264,Assault
51.0,Claude,Zero-Shot,Assault012_x264,Assault
52.0,Claude,Zero-Shot,Assault026_x264,Assault
53.0,Claude,Zero-Shot,Assault033_x264,Assault
54.0,Claude,Zero-Shot,Assault035_x264,Assault
55.0,Claude,Zero-Shot,Assault036_x264,Assault
56.0,Claude,Zero-Shot,Assault038_x264,Assault
57.0,Claude,Zero-Shot,Assault039_x264,Assault
58.0,Claude,Zero-Shot,Assault044_x264,Assault
